BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
E63001740,Mansfield,E12000004,East Midlands,56458,59008,62841,1.0703019378098242,0.02449198600893213,0.042039508223581545
E63006154,Taunton,E12000009,South West,55130,58713,62316,1.0272071071626874,0,0.004741954002920289
E63001363,Sale,E12000002,North West,56823,59925,61867,1.0550929622447816,0.012266701836858622,0.024552341075240763
E63003830,Hereford,E12000005,West Midlands,57971,62126,61451,1.0497527556009834,0.03149543744675207,0.07312374594085969
E63001425,Widnes,E12000002,North West,52898,58091,60266,1.0405517897490784,0.01739018275113303,0.032249360591016824
E63001367,Huyton with Roby,E12000002,North West,61292,57170,60128,1.0545670866908226,0.014547851358401519,0.02576729087623013
E63000073,Tynemouth,E12000001,North East,57680,60309,59942,1.0424184107128538,0.011110763733045285,0.022556831721408807
E63002941,Halesowen,E12000005,West Midlands,55591,57897,59862,1.0880112917928662,0.012442969741770435,0.024206936696065672
E63005058,Gravesend,E12000008,South East,53242,56784,59797,1.0271158586688578,0.017483140102242174,0.026470087558307015
E63005482,Farnborough,E12000008,South East,57147,57486,59577,1.0933483053101267,0.02022009670514361,0.03934921909879963
E63000425,Scarborough,E12000003,Yorkshire and The Humber,56889,59532,59345,1.0700608245100247,0.0242277114726193,0.04449968083254347
E63002889,Smethwick,E12000005,West Midlands,47066,53967,58997,1.0216787458893393,0.016381195099006506,0.026178709882031352
E63001464,Bebington,E12000002,North West,58014,59229,58469,1.074964639321075,0.015295840143427171,0.02565969519481257
E63002944,Stourbridge,E12000005,West Midlands,56256,57187,58064,1.0536507574894634,0.012442969741770437,0.02420693669606567
E63003049,Kidderminster,E12000005,West Midlands,57302,57375,57400,1.1095621497055392,0.020319425749230072,0.033517318016001794
E63004713,Brentwood,E12000006,East of England,52849,56597,56989,1.0977292685986701,0.013162159669046032,0.034801882393746444
E63000521,Barrow-in-Furness,E12000002,North West,59181,56745,55503,1.0951103323659859,0.016365657126979714,0.022006112809113642
E63005410,Canterbury,E12000008,South East,47961,55212,55420,1.0869959056487555,0.027690952932751485,0.049097025345628084
E63001310,Bootle (Sefton),E12000002,North West,57093,52065,55196,1.0338166879778001,0.012683201628846381,0.02215799059737493
E63005238,Sittingbourne,E12000008,South East,50017,55505,55141,1.0784666165560965,0.021502509090484526,0.038996205229085396
E63006804,Weymouth,E12000009,South West,52362,53830,54945,1.0927468925010244,0,0.006760241548135705
E63003230,Wellingborough,E12000004,East Midlands,49368,51568,54719,1.0697960903815606,0.010349609231906788,0.018794787335901657
E63001982,Carlton (Gedling),E12000004,East Midlands,51715,52572,53917,1.037135202097318,0.0212457620295741,0.03615805057833201
E63004300,Clacton-on-Sea,E12000006,East of England,51284,50548,53219,1.023410515543047,0.019979933448343066,0.05284432542460968
E63001591,Macclesfield,E12000002,North West,51061,53197,53156,1.074278698588091,0.0037898672674296593,0.0316128355545289
E63000560,Lancaster,E12000002,North West,47819,48850,53148,1.0741138560687433,0.011357071286304334,0.03166816777811815
E63002057,Beeston (Broxtowe),E12000004,East Midlands,50638,52005,52891,1.0655301012253595,0.011350748349911687,0.02546248954169378
E63003818,Banbury,E12000008,South East,46874,49610,52736,1.0470207500475919,0.019454838834051677,0.0462785216693682
E63006890,Torquay,E12000009,South West,48608,50553,52628,1.108759197661526,0.02775598092038564,0.04195391420377249
E63005914,Folkestone,E12000008,South East,46051,51337,52276,1.1066920283589832,0.02526284045457138,0.047036225563640566
E63002672,Bloxwich,E12000005,West Midlands,48441,48658,51935,1.0541480726659405,0.017054030954329093,0.027149143513753544
E63000124,Washington,E12000001,North East,55382,54284,51877,1.1182719755157295,0.012402428379368346,0.022868850736481015
E63004349,Welwyn Garden City,E12000006,East of England,47054,50584,51386,1.1039050641644819,0.015216698526489566,0.030575079534603807
E63002884,Kingswinford,E12000005,West Midlands,50899,50404,51375,1.0902327967677805,0.012442969741770435,0.02420693669606567
E63004808,Thundersley and South Benfleet,E12000006,East of England,49129,49841,51260,1.144410271082183,0.011696379087382226,0.025066968409384816
E63005846,Royal Tunbridge Wells,E12000008,South East,43216,50810,51196,1.1121703209405784,0.0192702087535572,0.04628656561842085
E63005181,Wokingham,E12000008,South East,43563,44139,51145,1.1244377811094453,0.0169369173607814,0.03140529615885782
