"LSOA21CD","BUA22CD"
"E01020119","E63006043"
"E01020122","E63006050"
"E01020127","E63005982"
"E01020131","E63006057"
"E01019866","E63999999"
"E01020186","E63006979"
"E01019867","E63002211"
"E01020187","E63006926"
"E01020188","E63006963"
"E01019935","E63006644"
"E01019936","E63006684"
"E01019938","E63999999"
"E01019940","E63006706"
"E01019959","E63999999"
"E01019960","E63999999"
"E01019962","E63006657"
"E01019966","E63006565"
"E01019967","E63006573"
"E01019871","E63002337"
"E01020191","E63006866"
"E01020193","E63006872"
"E01020142","E63006982"
"E01020143","E63999999"
"E01020145","E63006926"
"E01020147","E63007002"
"E01020148","E63999999"
"E01020149","E63999999"
"E01020153","E63006969"
"E01020157","E63999999"
"E01020159","E63006955"
"E01020174","E63007011"
"E01020175","E63006981"
"E01020197","E63006865"
"E01020044","E63006595"
"E01019882","E63002143"
"E01019891","E63006663"
"E01019895","E63006799"
"E01019900","E63006695"
"E01019901","E63006625"
"E01019903","E63006645"
"E01020049","E63999999"
"E01020205","E63006807"
"E01020068","E63006647"
"E01020070","E63006500"
"E01020072","E63006560"
"E01020073","E63006419"
"E01020074","E63006383"
"E01020077","E63006523"
"E01020237","E63006829"
"E01020241","E63006769"
"E01020243","E63006734"
"E01020246","E63006881"
"E01020259","E63999999"
"E01020262","E63999999"
"E01020273","E63006780"
"E01020274","E63999999"
"E01020276","E63006053"
"E01020278","E63006115"
"E01020489","E63006809"
"E01020541","E63006316"
"E01020286","E63999999"
"E01020287","E63006277"
"E01020289","E63999999"
"E01020290","E63006621"
"E01020291","E63006375"
"E01020295","E63999999"
"E01020296","E63006189"
"E01020301","E63006473"
"E01020302","E63999999"
"E01020303","E63006428"
"E01020308","E63006247"
"E01020309","E63999999"
"E01020314","E63999999"
"E01020315","E63006884"
"E01020319","E63999999"
"E01020320","E63999999"
"E01020325","E63999999"
"E01020331","E63006830"
"E01020490","E63006783"
"E01020550","E63006452"
"E01020570","E63006804"
"E01020590","E63000159"
"E01020440","E63006037"
"E01020441","E63006446"
"E01020444","E63006451"
"E01020449","E63006278"
"E01020460","E63006327"
"E01020462","E63006205"
"E01020389","E63006394"
"E01020604","E63000158"
"E01020396","E63999999"
"E01020606","E63000149"
"E01020398","E63006563"
"E01020608","E63000167"
"E01020617","E63000148"
"E01020622","E63000141"
"E01020632","E63000161"
"E01020635","E63999999"
"E01020505","E63006759"
"E01020506","E63006583"
"E01020508","E63006448"
"E01020509","E63006682"
"E01020512","E63006733"
"E01020515","E63006812"
"E01020517","E63006710"
"E01020529","E63006628"
"E01020530","E63006533"
"E01020535","E63006689"
"E01020536","E63006712"
"E01020537","E63006752"
"E01020539","E63006659"
"E01020408","E63006611"
"E01020431","E63999999"
"E01020433","E63006360"
"E01020357","E63006696"
"E01020380","E63006611"
"E01020655","E63000143"
"E01020657","E63000143"
"E01020667","E63000156"
"E01020680","E63000191"
"E01020688","E63000203"
"E01020696","E63000217"
"E01020942","E63006602"
"E01020863","E63999999"
"E01020864","E63000253"
"E01020869","E63000267"
"E01020754","E63000187"
"E01020875","E63000267"
"E01020882","E63000267"
"E01020887","E63000228"
"E01020888","E63000241"
"E01020889","E63999999"
"E01020899","E63000228"
"E01020903","E63000231"
"E01020906","E63000216"
"E01020699","E63000224"
"E01020700","E63000222"
"E01021023","E63006170"
"E01020817","E63000232"
"E01020821","E63000232"
"E01020822","E63000250"
"E01021032","E63006489"
"E01020772","E63999999"
"E01020846","E63000283"
"E01020729","E63000193"
"E01021169","E63005956"
"E01021170","E63006246"
"E01021173","E63006040"
"E01021186","E63005928"
"E01021187","E63005928"
"E01021188","E63006251"
"E01021189","E63006240"
"E01021199","E63006424"
"E01021205","E63006412"
"E01021208","E63006550"
"E01021217","E63006060"
"E01021218","E63006060"
"E01021068","E63006373"
"E01021229","E63006007"
"E01021230","E63006007"
"E01021118","E63006256"
"E01021264","E63004715"
"E01021377","E63004147"
"E01021381","E63004028"
"E01021443","E63004631"
"E01021141","E63006128"
"E01021142","E63006437"
"E01021147","E63999999"
"E01021148","E63006324"
"E01021149","E63006242"
"E01021154","E63006040"
"E01021163","E63006096"
"E01021164","E63006096"
"E01021165","E63006312"
"E01021348","E63999999"
"E01021355","E63004136"
"E01021356","E63004136"
"E01021361","E63004221"
"E01021362","E63004221"
"E01021460","E63004617"
"E01021470","E63999999"
"E01021084","E63006331"
"E01021396","E63004377"
"E01021398","E63003900"
"E01021400","E63003922"
"E01021404","E63004111"
"E01021406","E63999999"
"E01021407","E63003950"
"E01021409","E63004017"
"E01021411","E63004018"
"E01021413","E63004007"
"E01021414","E63003815"
"E01021087","E63006289"
"E01021099","E63006187"
"E01021100","E63006331"
"E01021103","E63006172"
"E01021109","E63006439"
"E01021114","E63006155"
"E01021483","E63004808"
"E01021532","E63004808"
"E01021853","E63004408"
"E01021730","E63004096"
"E01021741","E63004482"
"E01021643","E63004294"
"E01021806","E63004797"
"E01021539","E63004279"
"E01021540","E63004346"
"E01021543","E63004442"
"E01021550","E63999999"
"E01021551","E63004429"
"E01021571","E63004498"
"E01021761","E63004569"
"E01021602","E63004562"
"E01021875","E63004623"
"E01021902","E63004600"
"E01021768","E63004386"
"E01021769","E63999999"
"E01021792","E63004463"
"E01021796","E63004451"
"E01021797","E63004489"
"E01021800","E63004706"
"E01021656","E63004001"
"E01021659","E63003984"
"E01021660","E63004024"
"E01021663","E63004095"
"E01021694","E63004286"
"E01022011","E63004193"
"E01022019","E63003996"
"E01022028","E63004012"
"E01022051","E63004119"
"E01022053","E63004209"
"E01022057","E63003862"
"E01022175","E63004457"
"E01022178","E63004101"
"E01022184","E63003757"
"E01022058","E63004216"
"E01022186","E63004381"
"E01022270","E63004041"
"E01021909","E63004385"
"E01022187","E63004403"
"E01022271","E63004142"
"E01022222","E63004135"
"E01022062","E63004057"
"E01021913","E63004417"
"E01021915","E63999999"
"E01021921","E63004817"
"E01021942","E63004705"
"E01021946","E63004820"
"E01022224","E63004661"
"E01022064","E63004205"
"E01022225","E63004576"
"E01022227","E63004582"
"E01022128","E63004173"
"E01022071","E63003940"
"E01022234","E63004350"
"E01021971","E63004104"
"E01021972","E63004037"
"E01021974","E63004156"
"E01022247","E63004041"
"E01022250","E63004342"
"E01022259","E63004248"
"E01022266","E63004296"
"E01022267","E63004097"
"E01022072","E63003937"
"E01022201","E63999999"
"E01022202","E63004499"
"E01021978","E63004061"
"E01022077","E63003866"
"E01022205","E63004034"
"E01022207","E63004664"
"E01022215","E63004477"
"E01022216","E63004227"
"E01022096","E63004259"
"E01022097","E63003880"
"E01022098","E63003843"
"E01022376","E63004474"
"E01022385","E63004612"
"E01022389","E63004452"
"E01022392","E63004399"
"E01022397","E63004430"
"E01022406","E63004517"
"E01022408","E63004570"
"E01022409","E63004546"
"E01022413","E63004604"
"E01022415","E63004682"
"E01022592","E63006257"
"E01022536","E63005358"
"E01022561","E63005778"
"E01022562","E63005626"
"E01022582","E63005730"
"E01022585","E63005988"
"E01022591","E63005944"
"E01022652","E63006399"
"E01022596","E63005948"
"E01022597","E63006141"
"E01022434","E63004070"
"E01022657","E63006386"
"E01022488","E63999999"
"E01022676","E63006272"
"E01022681","E63006272"
"E01022686","E63006272"
"E01022489","E63005280"
"E01022439","E63004070"
"E01022441","E63004173"
"E01022604","E63005757"
"E01022442","E63004140"
"E01022606","E63006406"
"E01022445","E63004093"
"E01022350","E63004544"
"E01022354","E63004467"
"E01022366","E63004531"
"E01022371","E63004640"
"E01022717","E63006362"
"E01022729","E63006527"
"E01022500","E63005259"
"E01022630","E63005886"
"E01022631","E63006025"
"E01022449","E63003947"
"E01022513","E63005315"
"E01022522","E63005382"
"E01022532","E63005538"
"E01022453","E63004033"
"E01022465","E63004020"
"E01022468","E63005528"
"E01022472","E63005308"
"E01023084","E63006388"
"E01023085","E63006388"
"E01023025","E63006427"
"E01023026","E63006530"
"E01022978","E63006387"
"E01022980","E63006426"
"E01022984","E63006672"
"E01022990","E63006667"
"E01022991","E63006636"
"E01022992","E63006387"
"E01022993","E63999999"
"E01022999","E63006617"
"E01023011","E63006268"
"E01023034","E63006672"
"E01022773","E63006509"
"E01022887","E63005523"
"E01022845","E63006613"
"E01022846","E63005370"
"E01022856","E63005601"
"E01022858","E63999999"
"E01023158","E63006230"
"E01023063","E63006646"
"E01023159","E63005674"
"E01023160","E63005729"
"E01023162","E63006191"
"E01023163","E63006288"
"E01023165","E63005511"
"E01023167","E63005916"
"E01023171","E63006343"
"E01023280","E63005964"
"E01023282","E63006173"
"E01023288","E63005862"
"E01023177","E63006055"
"E01023229","E63006143"
"E01023232","E63006430"
"E01023235","E63006350"
"E01023245","E63006379"
"E01023246","E63006194"
"E01023491","E63004303"
"E01023178","E63005812"
"E01023492","E63004303"
"E01023481","E63004384"
"E01023485","E63004292"
"E01023486","E63004319"
"E01023493","E63004149"
"E01023494","E63004029"
"E01023496","E63999999"
"E01023184","E63006145"
"E01023195","E63005854"
"E01023196","E63005618"
"E01023198","E63005689"
"E01023204","E63005681"
"E01023221","E63006303"
"E01023222","E63006303"
"E01023225","E63006079"
"E01023507","E63004146"
"E01023562","E63004678"
"E01023424","E63004335"
"E01023585","E63003835"
"E01023528","E63004659"
"E01023431","E63004323"
"E01023908","E63004497"
"E01023925","E63004423"
"E01023945","E63004349"
"E01023947","E63004548"
"E01023701","E63004326"
"E01023718","E63004506"
"E01023722","E63004362"
"E01023740","E63004441"
"E01023743","E63004441"
"E01023748","E63004333"
"E01023749","E63004322"
"E01023597","E63003920"
"E01023799","E63004113"
"E01023655","E63003814"
"E01023978","E63999999"
"E01023663","E63004022"
"E01023988","E63005504"
"E01023997","E63006039"
"E01023826","E63004708"
"E01024009","E63005963"
"E01024013","E63005910"
"E01023680","E63004441"
"E01024014","E63005910"
"E01024015","E63005829"
