BUA22CD,BUA22NM,RGN22CD,RGN22NM,bua_01_pop,bua_11_pop,bua_21_pop,geographic_constraint,bua_perm_rate_01_11,bua_perm_rate_01_21
E63001616,Chesterfield,E12000004,East Midlands,76654,79259,78863,1.0944985957376507,0.006958444140311336,0.01265321463129983
E63005577,Guildford,E12000008,South East,66777,73575,78049,1.0987861029719548,0.011418570404237438,0.022482478932313553
E63005212,Chatham,E12000008,South East,73206,75434,77564,1.1015743333180337,0.006956775394785838,0.012515545715522935
E63002444,Shrewsbury,E12000005,West Midlands,71980,76929,76818,1.0878118779799102,0.004540122454945579,0.024219035214205105
E63004441,St Albans,E12000006,East of England,66530,73368,76803,1.052933856609553,0.011448527214200728,0.02454016531097113
E63002256,Burton upon Trent,E12000005,West Midlands,63160,68525,76721,1.0646463145906062,0.013557500507689335,0.025524020034274737
E63000601,Harrogate,E12000003,Yorkshire and The Humber,72729,76075,76394,1.0602910602910602,0.018221873179561754,0.03597178342767089
E63001908,Newcastle-under-Lyme,E12000005,West Midlands,73944,75125,76213,1.0770177598030597,0.007530935015979677,0.015553552405146276
E63002644,Tamworth,E12000005,West Midlands,72966,73987,75991,1.0826097523254017,0.004198395720862997,0.008159146400922428
E63005413,Woking,E12000008,South East,66387,73998,75851,1.1054769171613275,0.00839656987397936,0.013846214579284675
E63002259,Stafford,E12000005,West Midlands,68329,74862,75310,1.094570928196147,0.014656814523569808,0.02354074069336127
E63001804,Crewe,E12000002,North West,68494,73323,74646,1.0352878981452927,0.0023373630724235783,0.014032526159800126
E63000087,South Shields,E12000001,North East,79512,76776,73376,1.0295460284776317,0.001446881940432897,0.002880787361220656
E63001160,Barnsley,E12000003,Yorkshire and The Humber,65619,69424,72593,1.0944539183995519,0.011613694659183845,0.017615463483836233
E63001350,Rotherham,E12000003,Yorkshire and The Humber,70235,72125,72519,1.1047553580634866,0.006660949150020182,0.01068886428309121
E63002734,Walsall,E12000005,West Midlands,61054,69595,71575,1.0502318194625888,0.004696489768758516,0.008367085177730079
E63006613,Gosport,E12000008,South East,73052,74954,70835,1.0477697472522773,0.005199090428806327,0.008016271986740918
E63002827,Lowestoft,E12000006,East of England,67091,69011,70814,1.0686297791498456,0,0.002787686359124856
E63005030,Dartford,E12000008,South East,58511,65048,70078,1.1037832169761859,0.004932366500085822,0.009088061792591669
E63006618,Bognor Regis,E12000008,South East,64328,66839,69379,1.0400158478605388,0.011510546771143576,0.01916187232164135
E63004922,Maidenhead,E12000008,South East,59384,64088,69341,1.0760401721664274,0.010878899520371523,0.022694737755416194
E63006916,Paignton,E12000009,South West,65358,65738,68621,1.1051894785961638,0.015560513306872012,0.021763640043622152
E63002876,Corby,E12000004,East Midlands,58627,59930,67667,1.119256813475852,0.004918036429223089,0.0080700872732227
E63005132,Rochester,E12000008,South East,60510,65661,67549,1.0564238697618984,0.006591107564510998,0.0116937751542533
E63001554,Ellesmere Port,E12000002,North West,65430,64126,66646,1.0486821560905129,0.0013386760747776583,0.010161360003849203
E63002317,Loughborough,E12000004,East Midlands,58606,63486,65626,1.066159520516367,0.011794130687680216,0.019677907885327417
E63002477,Cannock,E12000005,West Midlands,61495,64602,65509,1.1004348059477158,0.007736478613234002,0.01253589005759024
E63002862,Dudley (Dudley),E12000005,West Midlands,58957,62645,64905,1.1051973358927376,0.00504541305717219,0.00906095107305424
E63000970,Dewsbury,E12000003,Yorkshire and The Humber,56735,62016,64397,1.086801086801087,0.012600202734300327,0.021900536085439327
E63005125,Margate,E12000008,South East,57820,61403,63608,1.0257240802224201,0.013994895331031388,0.02498313540821993
E63001481,Runcorn,E12000002,North West,61978,63763,63232,1.1818335303055885,0.003813268988802664,0.007132070130705643
E63003016,Kettering,E12000004,East Midlands,52038,57273,62844,1.0525366132379033,0.004918036429223089,0.008070087273222698
E63001740,Mansfield,E12000004,East Midlands,56458,59008,62841,1.0703019378098242,0.0076310633219660385,0.012996348202577121
E63006154,Taunton,E12000009,South West,55130,58713,62316,1.0272071071626874,0,0.0018162178520872046
E63001363,Sale,E12000002,North West,56823,59925,61867,1.0550929622447816,0.004426617606122274,0.00959652822204262
E63003830,Hereford,E12000005,West Midlands,57971,62126,61451,1.0497527556009834,0.02156662673515195,0.04523124879728942
E63001425,Widnes,E12000002,North West,52898,58091,60266,1.0405517897490784,0.0038132689888026646,0.007132070130705643
E63001367,Huyton with Roby,E12000002,North West,61292,57170,60128,1.0545670866908226,0.0037354365626942527,0.006269493703643255
E63000073,Tynemouth,E12000001,North East,57680,60309,59942,1.0424184107128538,0.0023776119922566045,0.005913547775612579
